,Name,Link
63,"""The Oscar Best Picture nominees just made history. Surprisingly, it's for their box office""",https://www.latimes.com/entertainment-arts/awards/story/2023-01-24/oscars-nominations-2023-best-picture-nomineees-box-office
64,Archived,https://web.archive.org/web/20230309205543/https://www.latimes.com/entertainment-arts/awards/story/2023-01-24/oscars-nominations-2023-best-picture-nomineees-box-office
65,,https://www.hollywoodreporter.com/movies/movie-news/germany-all-quiet-on-the-western-front-oscar-nominations-1235308229/
66,Archived,https://web.archive.org/web/20230127151020/https://www.hollywoodreporter.com/movies/movie-news/germany-all-quiet-on-the-western-front-oscar-nominations-1235308229/
67,"""An Cailín Ciúin first feature as Gaeilge with Oscar nod""",https://www.rte.ie/entertainment/2023/0124/1351596-cailin-ciun-first-irish-language-feature-with-oscar-nod/
68,Archived,https://web.archive.org/web/20230130132652/https://www.rte.ie/entertainment/2023/0124/1351596-cailin-ciun-first-irish-language-feature-with-oscar-nod/
69,"""Oscars: Brendan Fraser, Jamie Lee Curtis, Austin Butler, Michelle Yeoh among First-Time Nominees in Acting Categories""",https://www.hollywoodreporter.com/movies/movie-news/michelle-yeoh-brendan-fraser-2023-oscars-first-time-nominee-1235308735/
70,Archived,https://web.archive.org/web/20230213151215/https://www.hollywoodreporter.com/movies/movie-news/michelle-yeoh-brendan-fraser-2023-oscars-first-time-nominee-1235308735/
71,"""Hollywood Flashback: Merle Oberon Blazed a Trail in Secret""",https://www.hollywoodreporter.com/movies/movie-news/hollywood-flashback-merle-oberon-oscars-secret-1235343125/
72,Archived,https://web.archive.org/web/20230313052533/https://www.hollywoodreporter.com/movies/movie-news/hollywood-flashback-merle-oberon-oscars-secret-1235343125/
73,"""The Complex History of Asian Representation at the Oscars""",https://time.com/6260236/asian-oscar-nominees-history/
74,Archived,https://web.archive.org/web/20230309235748/https://time.com/6260236/asian-oscar-nominees-history/
75,"""Oscars 2023: Six records that could be broken, from oldest victor to first MCU winner""",https://www.independent.co.uk/arts-entertainment/films/news/oscars-2023-records-break-b2292067.html
76,Archived,https://web.archive.org/web/20230308060848/https://www.independent.co.uk/arts-entertainment/films/news/oscars-2023-records-break-b2292067.html
77,"""Oscars: Michelle Yeoh, Angela Bassett, and More Record-Setters among the 2023 Nominees""",https://www.hollywoodreporter.com/movies/movie-news/2023-oscars-nominations-records-1235307648/
78,Archived,https://web.archive.org/web/20230129184213/https://www.hollywoodreporter.com/movies/movie-news/2023-oscars-nominations-records-1235307648/
79,"""Oscar-nominees John Williams and Judd Hirsch break historic records""",https://www.guinnessworldrecords.com/news/2023/1/oscar-nominees-john-williams-and-judd-hirsch-break-historic-records-735517
80,Archived,https://web.archive.org/web/20230228133330/https://www.guinnessworldrecords.com/news/2023/1/oscar-nominees-john-williams-and-judd-hirsch-break-historic-records-735517
81,,https://www.indiewire.com/2023/03/2023-oscars-winners-list-academy-awards-1234818133/
82,Archived,https://web.archive.org/web/20230313035036/https://www.indiewire.com/2023/03/2023-oscars-winners-list-academy-awards-1234818133/
83,,https://variety.com/2023/awards/awards/everything-everywhere-all-at-once-oscars-record-1235544633/
84,Archived,https://web.archive.org/web/20230313050016/https://variety.com/2023/awards/awards/everything-everywhere-all-at-once-oscars-record-1235544633/
85,,https://apnews.com/article/oscars-academy-awards-2023-0366eeec948d96f3126d0725cdec5074
86,Archived,https://web.archive.org/web/20230312192237/https://apnews.com/article/oscars-academy-awards-2023-0366eeec948d96f3126d0725cdec5074
87,"""A24 Achieves Art-House Supremacy With Triumphant Oscar Night""",https://www.nytimes.com/2023/03/13/business/media/a24-oscars-everything-everywhere-the-whale.html
88,Archived,https://web.archive.org/web/20230313200248/https://www.nytimes.com/2023/03/13/business/media/a24-oscars-everything-everywhere-the-whale.html/
89,"""Oscars 2023: A24 cements indie powerhouse status with 'Everything Everywhere All at Once' win""",https://www.latimes.com/entertainment-arts/awards/story/2023-03-12/oscars-2023-scorecard-a24-everything-everywhere-all-at-once
90,Archived,https://web.archive.org/web/20230313043609/https://www.latimes.com/entertainment-arts/awards/story/2023-03-12/oscars-2023-scorecard-a24-everything-everywhere-all-at-once
91,"""The 95th Academy Awards (2023) | Nominees and Winners""",https://www.oscars.org/oscars/ceremonies/2023
